Dataset,title,description,publisher,contact_name,contact_email,identifier,distribution,publication_date,example_resource,SPARQL_endpoint,access_URL,modification_date,creator,contributor,landing_page
https://agriculture.ld.admin.ch/foag/cube/Eggs/Consumption_Price_Month,4,4,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,"Bundesamt für Landwirtschaft, Fachbereich Marktanalysen",mailto:marktanalysen@blw.admin.ch,F_Eggs_Consumption__Price_Month,NONE,2024-08-21,NONE,NONE,NONE,2024-08-09T01:33:55.624Z,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://www.agrarmarktdaten.ch
https://agriculture.ld.admin.ch/foag/cube/Eggs/Consumption_Price_Year,4,4,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,"Bundesamt für Landwirtschaft, Fachbereich Marktanalysen",mailto:marktanalysen@blw.admin.ch,F_Eggs_Consumption__Price_Year,NONE,2024-08-21,NONE,NONE,NONE,2024-08-09T01:33:55.624Z,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://www.agrarmarktdaten.ch
https://agriculture.ld.admin.ch/foag/cube/Eggs/Export_Quantity_Year,4,4,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,"Bundesamt für Landwirtschaft, Fachbereich Marktanalysen",mailto:marktanalysen@blw.admin.ch,F_Eggs_Export__Quantity_Year,NONE,2024-08-21,NONE,NONE,NONE,2024-07-25T01:38:37.305Z,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://www.agrarmarktdaten.ch
https://agriculture.ld.admin.ch/foag/cube/Eggs/GastronomyWholesale_Price_Year,4,4,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,"Bundesamt für Landwirtschaft, Fachbereich Marktanalysen",mailto:marktanalysen@blw.admin.ch,F_Eggs_GastronomyWholesale__Price_Year,NONE,2024-08-21,NONE,NONE,NONE,2024-08-06T01:52:10.011Z,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://www.agrarmarktdaten.ch
https://agriculture.ld.admin.ch/foag/cube/Eggs/Import_Price_Month,4,4,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,"Bundesamt für Landwirtschaft, Fachbereich Marktanalysen",mailto:marktanalysen@blw.admin.ch,F_Eggs_Import__Price_Month,NONE,2024-08-21,NONE,NONE,NONE,2024-08-09T01:33:55.624Z,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://www.agrarmarktdaten.ch
https://agriculture.ld.admin.ch/foag/cube/Eggs/Import_Price_Year,4,4,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,"Bundesamt für Landwirtschaft, Fachbereich Marktanalysen",mailto:marktanalysen@blw.admin.ch,F_Eggs_Import__Price_Year,NONE,2024-08-21,NONE,NONE,NONE,2024-08-06T01:52:10.011Z,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://www.agrarmarktdaten.ch
https://agriculture.ld.admin.ch/foag/cube/Eggs/Import_Quantity_Year,4,4,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,"Bundesamt für Landwirtschaft, Fachbereich Marktanalysen",mailto:marktanalysen@blw.admin.ch,F_Eggs_Import__Quantity_Year,NONE,2024-08-21,NONE,NONE,NONE,2024-08-06T01:52:10.011Z,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://www.agrarmarktdaten.ch
https://agriculture.ld.admin.ch/foag/cube/Eggs/Production_Contribution_Year,4,4,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,"Bundesamt für Landwirtschaft, Fachbereich Marktanalysen",mailto:marktanalysen@blw.admin.ch,F_Eggs_Production__Contribution_Year,NONE,2024-08-21,NONE,NONE,NONE,2024-08-06T01:52:10.011Z,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://www.agrarmarktdaten.ch
https://agriculture.ld.admin.ch/foag/cube/Eggs/Production_Percentage_Year,4,4,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,"Bundesamt für Landwirtschaft, Fachbereich Marktanalysen",mailto:marktanalysen@blw.admin.ch,F_Eggs_Production__Percentage_Year,NONE,2024-08-21,NONE,NONE,NONE,2024-08-06T01:52:10.011Z,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://www.agrarmarktdaten.ch
https://agriculture.ld.admin.ch/foag/cube/Eggs/Production_Price_Month,4,4,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,"Bundesamt für Landwirtschaft, Fachbereich Marktanalysen",mailto:marktanalysen@blw.admin.ch,F_Eggs_Production__Price_Month,NONE,2024-08-21,NONE,NONE,NONE,2024-08-09T01:33:55.624Z,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-landwirtschaft-blw,https://www.agrarmarktdaten.ch
